"uid","domainID","siteID","namedLocation","collectDate","identifiedDate","sampleID","sampleCode","slideID","acceptedTaxonID","targetTaxaPresent","scientificName","morphospeciesID","taxonRank","phylum","subphylum","class","subclass","infraclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","subtribe","genus","specificEpithet","infraspecificEpithet","invertebrateLifeStage","sizeClass","sizeCategory","individualCount","subsamplePercent","estimatedTotalCount","immatureSpecimen","indeterminateSpecies","sampleCondition","distinctTaxon","identificationQualifier","identificationReferences","qcChecked","laboratoryName","identifiedBy","identificationRemarks","dataQF","publicationDate","release"
"ae647675-f733-4cab-88e6-3de9f490c226","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-23,"TECR.20210915.SURBER.3","A00000298964",NA,"HELSP10","Y","Heleniella sp.",NA,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",NA,"Chironomidae","Orthocladiinae",NA,NA,"Heleniella","sp.",NA,"larva",2,NA,2,60,3,"N","N","condition OK","Y",NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",NA,NA,"20221129T225225Z","RELEASE-2023"
"1ec4f7bc-904f-46a2-9cd3-6b1bb198ec8b","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-20,"TECR.20210915.SURBER.7","A00000298955",NA,"ZAPFRI","Y","Zapada frigida",NA,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",NA,NA,"Nemouridae","Nemourinae",NA,NA,"Zapada","frigida",NA,"larva",2,NA,1,27,4,"N","N","condition OK","Y",NA,"Baumann et al. 1977; Stewart and Stark 2002; Merritt et al. 2019","Y","Rhithron Associates, Inc.","B. Moore",NA,NA,"20221129T225225Z","RELEASE-2023"
"c6daf4d2-3850-4b79-af84-56451342a129","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-19,"TECR.20210915.SURBER.7","A00000298955",NA,"MICSP5","Y","Microtendipes sp.",NA,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",NA,"Chironomidae","Chironominae","Chironomini",NA,"Microtendipes","sp.",NA,"larva",4,NA,11,27,41,"N","N","condition OK","Y",NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","Y","Rhithron Associates, Inc.","R. Spring",NA,NA,"20221129T225225Z","RELEASE-2023"
"95c3e5f4-ba03-4706-b2aa-362557a8ed22","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-23,"TECR.20210915.SURBER.3","A00000298964",NA,"THIGRO","Y","Thienemannimyia gr.",NA,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",NA,"Chironomidae","Tanypodinae","Pentaneurini",NA,"Thienemannimyia","gr.",NA,"larva",2,NA,6,60,10,"Y","N","condition OK","Y",NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2017","N","Rhithron Associates, Inc.","A. Fasbender",NA,NA,"20221129T225225Z","RELEASE-2023"
"5df1f211-c09b-4620-957b-af4cb63073e0","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-20,"TECR.20210915.SURBER.7","A00000298955",NA,"HETCAL","Y","Heteroplectron californicum",NA,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",NA,NA,"Leptoceroidea","Calamoceratidae","Calamoceratinae",NA,NA,"Heteroplectron","californicum",NA,"larva",3,NA,4,27,15,"N","N","condition OK","Y",NA,"Wiggins 1996; Merritt et al. 2019","Y","Rhithron Associates, Inc.","B. Moore",NA,NA,"20221129T225225Z","RELEASE-2023"
"e94b3281-a0dd-4eea-af64-397737d697ba","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-20,"TECR.20210915.SURBER.7","A00000298955",NA,"POLSP5","Y","Polycentropodidae sp.",NA,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",NA,NA,"Hydropsychoidea","Polycentropodidae",NA,NA,NA,NA,"sp.",NA,"larva",5,NA,1,27,4,"Y","N","condition OK","Y",NA,"Flint 1994; Wiggins 1996; Merritt et al. 2019; Chamorro and Holzenthal 2011","Y","Rhithron Associates, Inc.","B. Moore",NA,NA,"20221129T225225Z","RELEASE-2023"
"fe023f46-9c6e-4bd1-a9d1-5d5636104cc2","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-20,"TECR.20210915.SURBER.1","A00000298947","BA22NEOMST08008O1","LUMSP2","Y","Lumbriculidae sp.",NA,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",NA,NA,"Lumbriculida",NA,NA,NA,"Lumbriculidae",NA,NA,NA,NA,"sp.",NA,"none",4,NA,1,13,8,"Y","N","condition OK","Y",NA,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","J. Webb",NA,NA,"20221129T225225Z","RELEASE-2023"
"672a095b-e6d6-4d7a-86eb-41779fb071a3","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-19,"TECR.20210915.SURBER.8","A00000298965",NA,"YORSP","Y","Yoraperla sp.",NA,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",NA,NA,"Peltoperlidae","Peltoperlinae",NA,NA,"Yoraperla","sp.",NA,"larva",2,NA,6,17,35,"N","N","condition OK","Y",NA,"Stewart and Stark 2002; Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",NA,NA,"20221129T225225Z","RELEASE-2023"
"ecb8060e-0d08-4351-b35c-f2c9b025e1b1","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-19,"TECR.20210915.SURBER.8","A00000298965",NA,"MICSP3","Y","Micrasema sp.",NA,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",NA,NA,"Limnephiloidea","Brachycentridae",NA,NA,NA,"Micrasema","sp.",NA,"larva",3,NA,18,17,106,"N","N","condition OK","Y",NA,"Wiggins 1996; Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",NA,NA,"20221129T225225Z","RELEASE-2023"
"9da3665e-ad29-460e-8c48-4f0b53a17f44","D17","TECR","TECR.AOS.reach",2021-09-15 17:29:00,2022-05-19,"TECR.20210915.SURBER.8","A00000298965",NA,"IROSP","Y","Ironodes sp.",NA,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",NA,"Ephemeroptera","Pisciforma",NA,"Heptagenioidea","Heptageniidae",NA,NA,NA,"Ironodes","sp.",NA,"larva",3,NA,6,17,35,"N","N","condition OK","Y",NA,"Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",NA,NA,"20221129T225225Z","RELEASE-2023"
